text,label
"The new app update is incredibly smooth and fast. Great job team! 🚀",positive
"I've been waiting for my refund for three weeks now. This is unacceptable.",negative
"Just received the package. It's okay, nothing special but does the job.",neutral
"I am so frustrated with the constant crashes after the latest patch. 😡",negative
"Absolutely love the dark mode feature. My eyes thank you!",positive
"The delivery was late, but the customer service rep was very helpful.",positive
"It's an average product for the price. Not great, not terrible.",neutral
"I can't believe how bad the battery life is on this thing. Returning it tomorrow.",negative
"Best purchase I've made all year! Highly recommend to everyone.",positive
"The instructions were a bit confusing, but I eventually figured it out.",neutral
